date,delay,distance,origin,destination
2001-01-01 09:24:00.000000,-4,1117,IAH,PIT
2001-01-01 14:25:00.000000,0,121,OGG,ITO
2001-01-01 18:50:00.000000,-9,907,BNA,PVD
2001-01-01 19:31:00.000000,51,847,SFO,EGE
2001-01-01 22:40:00.000000,-9,1188,DFW,ONT
2001-01-02 00:27:00.000000,24,2399,HNL,SFO
2001-01-02 06:20:00.000000,6,129,SEA,PDX
2001-01-02 06:38:00.000000,10,862,DEN,IAH
2001-01-02 08:05:00.000000,-6,1235,DFW,LAX
2001-01-02 09:06:00.000000,-9,1839,CLE,SJU
2001-01-02 10:23:00.000000,34,1521,LAS,MDW
2001-01-02 13:30:00.000000,14,521,PSC,SLC
2001-01-02 13:31:00.000000,4,224,IAH,DFW
2001-01-02 13:41:00.000000,1,1671,PHX,DTW
2001-01-02 21:05:00.000000,-2,447,SFO,SAN
2001-01-03 08:03:00.000000,-8,190,DFW,AUS
2001-01-03 08:35:00.000000,20,422,RNO,SLC
2001-01-03 09:27:00.000000,-6,229,LGA,IAD
2001-01-03 10:46:00.000000,-4,116,CMH,CVG
2001-01-03 11:48:00.000000,6,745,EWR,ATL
2001-01-03 12:19:00.000000,-27,1192,DCA,DFW
2001-01-03 13:45:00.000000,70,1123,DEN,DTW
2001-01-03 15:44:00.000000,20,395,MDW,BNA
2001-01-03 16:09:00.000000,8,719,EWR,ORD
2001-01-03 16:46:00.000000,37,2139,ATL,SFO
2001-01-03 18:16:00.000000,-2,2401,PHL,LAX
2001-01-03 19:19:00.000000,-13,461,GSO,LGA
2001-01-03 19:35:00.000000,6,3784,HNL,DFW
2001-01-03 20:03:00.000000,-3,888,ORD,DEN
2001-01-04 06:03:00.000000,-12,488,ALB,DTW
2001-01-04 06:30:00.000000,-4,363,PHL,CLE
2001-01-04 07:00:00.000000,0,303,MSY,HOU
2001-01-04 07:28:00.000000,-36,1062,RDU,DFW
2001-01-04 09:02:00.000000,-17,980,MSP,PHL
2001-01-04 09:47:00.000000,3,1195,IAH,SLC
2001-01-04 10:02:00.000000,1,1038,PHL,MCI
2001-01-04 10:04:00.000000,-5,1235,LAX,DFW
2001-01-04 11:40:00.000000,124,508,JFK,DTW
2001-01-04 13:15:00.000000,8,1117,IAH,PIT
2001-01-04 17:12:00.000000,-14,843,MHT,ORD
2001-01-04 20:58:00.000000,-11,329,CLT,JAX
2001-01-05 05:55:00.000000,1,190,SHV,DFW
2001-01-05 07:05:00.000000,-8,2329,BWI,LAX
2001-01-05 08:29:00.000000,12,1046,STL,BOS
2001-01-05 09:33:00.000000,-4,1062,RDU,DFW
2001-01-05 11:30:00.000000,-7,256,PHX,LAS
2001-01-05 11:59:00.000000,0,235,ORD,DTW
2001-01-05 12:36:00.000000,-14,337,LAX,SFO
2001-01-05 15:04:00.000000,5,437,DAL,MSY
2001-01-05 16:29:00.000000,35,1926,SLC,PHL
2001-01-05 16:59:00.000000,-10,862,DEN,LAX
2001-01-05 17:16:00.000000,-17,337,LAX,SFO
2001-01-05 17:24:00.000000,22,693,CID,DEN
2001-01-05 19:47:00.000000,20,395,BNA,MDW
2001-01-05 20:50:00.000000,-2,377,BWI,MHT
2001-01-05 21:41:00.000000,60,215,PIT,DAY
2001-01-06 03:15:00.000000,122,866,LAS,SEA
2001-01-06 07:54:00.000000,9,821,JAX,EWR
2001-01-06 08:06:00.000000,30,140,LAW,DFW
2001-01-06 08:46:00.000000,-1,1900,ONT,ATL
2001-01-06 09:08:00.000000,7,508,GSP,DTW
2001-01-06 09:21:00.000000,10,2116,EWR,TUS
2001-01-06 09:39:00.000000,-7,336,PHL,BTV
2001-01-06 12:08:00.000000,-10,802,ORD,DFW
2001-01-06 14:10:00.000000,20,296,DAL,LIT
2001-01-06 16:02:00.000000,-25,460,GSO,DTW
