country,income,health,population,continent
Afghanistan,1925,57.63,32526562,Asia
Albania,10620,76,2896679,Europe
Algeria,13434,76.5,39666519,Africa
Andorra,46577,84.1,70473,Europe
Angola,7615,61,25021974,Africa
Antigua and Barbuda,21049,75.2,91818,North America
Argentina,17344,76.2,43416755,South America
Armenia,7763,74.4,3017712,Europe
Australia,44056,81.8,23968973,Oceania
Austria,44401,81,8544586,Europe
Azerbaijan,16986,72.9,9753968,Europe
Bahamas,22818,72.3,388019,North America
Bahrain,44138,79.2,1377237,Asia
Bangladesh,3161,70.1,160995642,Asia
Barbados,12984,75.8,284215,North America
Belarus,17415,70.4,9495826,Europe
Belgium,41240,80.4,11299192,Europe
Belize,8501,70,359287,North America
Benin,1830,65.5,10879829,Africa
Bhutan,7983,70.2,774830,Asia
Bolivia,6295,72.3,10724705,South America
Bosnia and Herzegovina,9833,77.9,3810416,Europe
Botswana,17196,66.4,2262485,Africa
Brazil,15441,75.6,207847528,South America
Brunei,73003,78.7,423188,Asia
Bulgaria,16371,74.9,7149787,Europe
Burkina Faso,1654,62.8,18105570,Africa
Burundi,777,60.4,11178921,Africa
Cambodia,3267,68.4,15577899,Asia
Cameroon,2897,59.5,23344179,Africa
Canada,43294,81.7,35939927,North America
Cape Verde,6514,74.6,520502,Africa
Central African Republic,599,53.8,4900274,Africa
Chad,2191,57.7,14037472,Africa
Chile,22465,79.3,17948141,South America
China,13334,76.9,1376048943,Asia
Colombia,12761,75.8,48228704,South America
Comoros,1472,64.1,788474,Africa
"Congo, Dem. Rep.",809,58.3,77266814,Africa
"Congo, Rep.",6220,61.9,4620330,Africa
Costa Rica,14132,80,4807850,North America
Cote d'Ivoire,3491,60.33,22701556,Africa
Croatia,20260,78,4240317,Europe
Cuba,21291,78.5,11389562,North America
Cyprus,29797,82.6,1165300,Europe
Czech Republic,29437,78.6,10543186,Europe
Denmark,43495,80.1,5669081,Europe
Djibouti,3139,64.63,887861,Africa
Dominica,10503,74.6,72680,North America
Dominican Republic,12837,73.8,10528391,North America
Ecuador,10996,75.2,16144363,South America
Egypt,11031,71.3,91508084,Africa
El Salvador,7776,74.1,6126583,North America
Equatorial Guinea,31087,60.63,845060,Africa
Eritrea,1129,62.9,5227791,Africa
Estonia,26812,76.8,1312558,Europe
Ethiopia,1520,63.6,99390750,Africa
Fiji,7925,66.3,892145,Oceania
Finland,38923,80.8,5503457,Europe
France,37599,81.9,64395345,Europe
Gabon,18627,60.53,1725292,Africa
Gambia,1644,65.1,1990924,Africa
Georgia,7474,73.3,3999812,Europe
Germany,44053,81.1,80688545,Europe
Ghana,4099,65.5,27409893,Africa
Greece,25430,79.8,10954617,Europe
Grenada,11593,71.7,106825,North America
