,zip_code,latitude,longitude,city,state,county,digit
0,501,40.922326,-72.637078,Holtsville,NY,Suffolk,5
1,544,40.922326,-72.637078,Holtsville,NY,Suffolk,5
2,601,18.165273000000003,-66.722583,Adjuntas,PR,Adjuntas,6
3,602,18.393103,-67.180953,Aguada,PR,Aguada,6
4,603,18.455913,-67.14578,Aguadilla,PR,Aguadilla,6
5,604,18.49352,-67.13588299999999,Aguadilla,PR,Aguadilla,6
6,605,18.465162,-67.141486,Aguadilla,PR,Aguadilla,6
7,606,18.172947,-66.94411099999999,Maricao,PR,Maricao,6
8,610,18.288685,-67.139696,Anasco,PR,Anasco,6
9,611,18.279531,-66.80216999999999,Angeles,PR,Utuado,6
10,612,18.450674,-66.698262,Arecibo,PR,Arecibo,6
11,613,18.458092999999998,-66.732732,Arecibo,PR,Arecibo,6
12,614,18.429675,-66.67450600000001,Arecibo,PR,Arecibo,6
13,616,18.444792,-66.64067800000001,Bajadero,PR,Arecibo,6
14,617,18.447092,-66.544255,Barceloneta,PR,Barceloneta,6
15,622,17.998531,-67.187318,Boqueron,PR,Cabo Rojo,6
16,623,18.062201,-67.149541,Cabo Rojo,PR,Cabo Rojo,6
17,624,18.023535,-66.726156,Penuelas,PR,Penuelas,6
18,627,18.477891,-66.85477,Camuy,PR,Camuy,6
19,631,18.269187,-66.864993,Castaner,PR,Lares,6
20,636,18.113284,-67.03970600000001,Rosario,PR,San German,6
21,637,18.087322,-66.934911,Sabana Grande,PR,Sabana Grande,6
22,638,18.33616,-66.472087,Ciales,PR,Ciales,6
23,641,18.250027,-66.698957,Utuado,PR,Utuado,6
24,646,18.43606,-66.281954,Dorado,PR,Dorado,6
25,647,17.969594,-66.93975400000001,Ensenada,PR,Guanica,6
26,650,18.360125,-66.562311,Florida,PR,Florida,6
27,652,18.457254000000002,-66.603358,Garrochales,PR,Arecibo,6
28,653,17.972468,-66.898661,Guanica,PR,Guanica,6
29,656,18.02328,-66.786909,Guayanilla,PR,Guayanilla,6
30,659,18.481391000000002,-66.808696,Hatillo,PR,Hatillo,6
31,660,18.145486,-67.135323,Hormigueros,PR,Hormigueros,6
32,662,18.480285000000002,-67.028155,Isabela,PR,Isabela,6
33,664,18.217606,-66.59830600000001,Jayuya,PR,Jayuya,6
34,667,18.015099,-67.055973,Lajas,PR,Lajas,6
35,669,18.295952,-66.881925,Lares,PR,Lares,6
36,670,18.252135,-66.990967,Las Marias,PR,Las Marias,6
37,674,18.445529999999998,-66.490268,Manati,PR,Manati,6
38,676,18.383727,-67.080799,Moca,PR,Moca,6
39,677,18.335781,-67.25254699999999,Rincon,PR,Rincon,6
40,678,18.45303,-66.933689,Quebradillas,PR,Quebradillas,6
41,680,18.219023,-67.50806800000001,Mayaguez,PR,Mayaguez,6
42,681,18.219023,-67.50806800000001,Mayaguez,PR,Mayaguez,6
43,682,18.219023,-67.50806800000001,Mayaguez,PR,Mayaguez,6
44,683,18.113284,-67.03970600000001,San German,PR,San German,6
45,685,18.3236,-66.972227,San Sebastian,PR,San Sebastian,6
46,687,18.316976,-66.415207,Morovis,PR,Morovis,6
47,688,18.429675,-66.67450600000001,Sabana Hoyos,PR,Arecibo,6
48,690,18.476195999999998,-67.139597,San Antonio,PR,Aguadilla,6
49,692,18.435817999999998,-66.338523,Vega Alta,PR,Vega Alta,6
50,693,18.443109,-66.398302,Vega Baja,PR,Vega Baja,6
51,694,18.443109,-66.398302,Vega Baja,PR,Vega Baja,6
52,698,18.06104,-66.861164,Yauco,PR,Yauco,6
53,703,18.250398,-66.12845,Aguas Buenas,PR,Aguas Buenas,7
54,704,17.99229,-66.139253,Aguirre,PR,Guayama,7
55,705,18.128092000000002,-66.26871700000001,Aibonito,PR,Aibonito,7
56,707,18.007014,-65.898719,Maunabo,PR,Maunabo,7
57,714,17.96751,-66.04138,Arroyo,PR,Arroyo,7
58,715,18.011854,-66.563721,Mercedita,PR,Ponce,7
59,716,18.001995,-66.60742900000001,Ponce,PR,Ponce,7
60,717,18.001995,-66.60742900000001,Ponce,PR,Ponce,7
61,718,18.22139,-65.77831,Naguabo,PR,Naguabo,7
62,719,18.298017,-66.22975100000001,Naranjito,PR,Naranjito,7
63,720,18.226862,-66.39402,Orocovis,PR,Orocovis,7
